,4He/3He intercept,4He/3He err,notes,file,aliquot_type,intercept,error,QST,QRT,time_of_collection
lb0301102023,0.0040345205645946,0.0001515979462033,,10000-2838-13454-001.csv,,,,,,
hb0201102023,0.0051983952027664,0.000107953996798,,10000-2839-13456-001.csv,,,,,,
std1013,1.1324475901978968,0.002472093708784,,10000-2840-13458-001.csv,,,,,,
JDORN-10853_64,2.1541430917584736,0.0039859004607269,,10000-2841-13460-001.csv,,,,,,
JDORN-10853_64_re1,0.0045235397573377,0.0001068056183523,,10000-2842-13462-001.csv,,,,,,
JDORN-10853_71,0.0044017541967785,8.299529119344306e-05,,10000-2843-13464-001.csv,,,,,,
JDORN-10853_71_re1,0.0110897333370894,0.00017873486181,,10000-2844-13466-001.csv,,,,,,
JDORN-10853_110,1.2171004221134996,0.0033201980867942,,10000-2845-13468-001.csv,,,,,,
JDORN-10853_110_re1,0.0080964058734612,0.0001264687688931,,10000-2846-13470-001.csv,,,,,,
std1014,1.1303144409429386,0.0016313993386242,,10000-2847-13472-001.csv,,,,,,
lb02_01112023,0.0051607879601219,0.0001075408749874,,10000-2849-13476-001.csv,,,,,,
hb01_01112023,0.0047222916922976,0.0001247089553922,,10000-2850-13478-001.csv,,,,,,
std1015,1.1277866739595244,0.0026050091519133,,10000-2851-13480-001.csv,,,,,,
JDORN-10853_176,1.9708665695826693,0.003505154558595,,10000-2852-13482-001.csv,,,,,,
JDORN-10853_176_re1,1.238481418763571,0.0023564304817153,,10000-2853-13484-001.csv,,,,,,
JDORN-10853_176_re2,0.8894246680818517,0.002082094085651,,10000-2854-13486-001.csv,,,,,,
JDORN-10853_174,0.004247673204721,0.0001340269519525,By some dyslexic miracle QST6741-6744 should be JDORN-10835_174 BUT I entered them as 176. SO here in this spread sheet the I am now calling 174 176 and 176 Im calling 174. This is correct in the log book and highlighted there as well.,10000-2856-13490-001.csv,,,,,,
std1016,1.1358644937557618,0.0024884112903223,By some dyslexic miracle QST6741-6744 should be JDORN-10835_174 BUT I entered them as 176. SO here in this spread sheet the I am now calling 174 176 and 176 Im calling 174. This is correct in the log book and highlighted there as well.,10000-2857-13492-001.csv,,,,,,
FCT-2,1.604275792808678,0.0036084578024278,,10000-2858-13494-001.csv,,,,,,
FCT-2_re1,0.0043733334295453,8.483208567331736e-05,,10000-2859-13496-001.csv,,,,,,
FEE-44,3.379769958636529,0.0055384298581227,,10000-2860-13498-001.csv,,,,,,
FEE-44_re1,0.1368157584048744,0.000523494216397,,10000-2861-13500-001.csv,,,,,,
std1017,1.1284273500698572,0.0018000672282309,,10000-2863-13504-001.csv,,,,,,
JDORN-14349_60,1.0381889987260051,0.002289705445282,,10000-2864-13506-001.csv,,,,,,
JDORN-14349_60_re1,0.1060551334545362,0.0004969426357069,,10000-2865-13508-001.csv,,,,,,
JDORN-14349_75,0.0922164465178705,0.0005977901219526,,10000-2868-13514-001.csv,,,,,,
std1018,1.130056806712524,0.0028382919565798,,10000-2869-13516-001.csv,,,,,,
JDORN-14349-75_re1,0.0111422320233697,0.0001684966902347,,10000-2870-13518-001.csv,,,,,,
JDORN-14349_75_re1,0.0111422320233697,0.0001684966902347,,10000-2870-13518-001.csv,,,,,,
JDORN-14349_93,1.3066822746753644,0.0028497683680515,,10000-2872-13522-001.csv,,,,,,
JDORN-14349_93_re1,0.0044166584883601,9.750649729271188e-05,,10000-2873-13524-001.csv,,,,,,
std1019,1.1292135547870856,0.0019176709082427,,10000-2874-13526-001.csv,,,,,,
lb01_01122023,0.0040822937361941,0.0001205134532283,,10000-2875-13528-001.csv,,,,,,
hb01_01122023,0.0057363222152835,0.0001108403183034,,10000-2876-13530-001.csv,,,,,,
std1020,1.1344580289780262,0.0025832529447515,,10000-2877-13532-001.csv,,,,,,
FCT-3,0.5129428463519818,0.0015857715117802,,10000-2878-13534-001.csv,,,,,,
FCT-3_re1,0.0872261523656344,0.0002451062723021,,10000-2879-13536-001.csv,,,,,,
JDORN-14349_167,0.7811814700081727,0.0017743317130165,,10000-2882-13542-001.csv,,,,,,
JDORN-14349_167_re1,0.0044822478791393,8.808910860776261e-05,,10000-2883-13544-001.csv,,,,,,
std1021,1.1330442962590357,0.0031227244374693,,10000-2884-13546-001.csv,,,,,,
JDORN-14349_204,0.9210301603129808,0.0022570269957027,,10000-2885-13548-001.csv,,,,,,
JDORN-14349_204_re1,0.0056381945239375,0.0001347761936544,,10000-2886-13550-001.csv,,,,,,
LASS_32,10.05318771210436,0.0125262543383077,,10000-2887-13552-001.csv,,,,,,
LASS_32_re1,0.0743747707047102,0.000658888378381,,10000-2888-13554-001.csv,,,,,,
LASS_55,13.304359042704032,0.0177686205977231,,10000-2889-13556-001.csv,,,,,,
LASS_55_re1,0.0046341879283986,0.0001089111079972,,10000-2890-13558-001.csv,,,,,,
std1022,1.132662512939707,0.0024766484270858,,10000-2891-13560-001.csv,,,,,,
FCT-4,2.9939514448063607,0.0053202301989761,,10000-2892-13562-001.csv,,,,,,
FCT-4_re1,0.0059133464145724,0.0001015757508492,,10000-2893-13564-001.csv,,,,,,
Greg_46,16.26050794443412,0.0295227870653511,,10000-2894-13566-001.csv,,,,,,
Greg_46_re1,0.0580234798447002,0.0003462813358643,,10000-2895-13568-001.csv,,,,,,
std1023,1.1333340370711278,0.0021638332105845,,10000-2897-13572-001.csv,,,,,,
Greg_52,6.8956141274232365,0.0120089487694921,,10000-2898-13574-001.csv,,,,,,
Greg_52_re1,0.0472293545083841,0.0003818829792557,,10000-2899-13576-001.csv,,,,,,
Greg_209,16.387898097902326,0.0290110713465114,,10000-2900-13578-001.csv,,,,,,
Greg_209_re1,0.5387114767796808,0.0016724486587033,,10000-2901-13580-001.csv,,,,,,
Greg_209_re2,0.1017057946380036,0.0004630409070453,,10000-2902-13582-001.csv,,,,,,
std1024,1.1353174021028525,0.0026363858900454,,10000-2903-13584-001.csv,,,,,,
lb03_01132023,0.004030330901367,9.870208295665524e-05,,10000-2906-13590-001.csv,,,,,,
hb01_01132023,0.0039935152272713,9.224277933962243e-05,,10000-2907-13592-001.csv,,,,,,
std1025,1.121890995903824,0.0021868152169298,,10000-2908-13594-001.csv,,,,,,
Greg_217,18.75459064713518,0.0333805550542754,,10000-2909-13596-001.csv,,,,,,
Greg_217_re1,0.0481270247493091,0.0003684750351679,,10000-2910-13598-001.csv,,,,,,
Greg_248,18.808570207119057,0.0325940777883072,,10000-2911-13600-001.csv,,,,,,
Greg_248_re1,0.0055831948111147,0.0001117258214159,,10000-2912-13602-001.csv,,,,,,
FCT-5,0.4954123540027467,0.0011854665108176,,10000-2913-13604-001.csv,,,,,,
std1026,1.1316968055658303,0.0023032479899979,,10000-2914-13606-001.csv,,,,,,
FCT-5_re1,0.0121569261630303,0.0001390361323831,,10000-2915-13608-001.csv,,,,,,
Greg_271,0.0045039579084592,7.953832379325261e-05,EMPTY,10000-2916-13610-001.csv,,,,,,
PSI_7,0.0073752856155681,0.0001401245275378,EMPTY??,10000-2917-13612-001.csv,,,,,,
PSI_7_re1,0.0047135318423481,0.0001415468328759,EMPTY??,10000-2918-13614-001.csv,,,,,,
PSI_92,9.99655408986334,0.0160664380847995,EMPTY??,10000-2919-13616-001.csv,,,,,,
std1027,1.127801813788323,0.0024724324153434,EMPTY??,10000-2920-13618-001.csv,,,,,,
PSI_92_re1,1.3347265750733657,0.0025928283948082,EMPTY??,10000-2921-13620-001.csv,,,,,,
PSI_92_re2,0.0049160324414465,9.98785479009286e-05,EMPTY??,10000-2922-13622-001.csv,,,,,,
PSI_103,8.198577609212425,0.0101160103320779,EMPTY??,10000-2923-13624-001.csv,,,,,,
PSI_103_re1,2.002650756213679,0.0034353466470446,EMPTY??,10000-2924-13626-001.csv,,,,,,
PSI_109,1.0887823678344666,0.002424638008773,13% left after 2nd reextract,10000-2925-13628-001.csv,,,,,,
std1028,1.1328762286907323,0.0025955708563178,,10000-2926-13630-001.csv,,,,,,
PSI_109_help,0.0043518497592714,0.0001081093041804,empty,10000-2927-13632-001.csv,,,,,,
PSI_111,3.3082050448876723,0.005173050360472,empty,10000-2928-13634-001.csv,,,,,,
PSI_111_re1,0.0044875267372304,8.156868226227862e-05,empty,10000-2929-13636-001.csv,,,,,,
FCT-6,0.5976755299421056,0.00118783258036,empty,10000-2930-13638-001.csv,,,,,,
FCT-6_re1,0.2603963474511092,0.0008549828177837,empty,10000-2931-13640-001.csv,,,,,,
std1029,1.131943870859042,0.0022421758123587,empty,10000-2932-13642-001.csv,,,,,,
FCT-6_re2,0.005055302858742,0.0001128518950587,empty,10000-2933-13644-001.csv,,,,,,
PSI_134,7.7869188910866525,0.0182251267939626,,10000-2934-13646-001.csv,,,,,,
PSI_134_re1,0.6068543894969383,0.0016365773390303,,10000-2935-13648-001.csv,,,,,,
PSI_134_re2,0.1311972007196987,0.0006740479412516,,10000-2936-13650-001.csv,,,,,,
PSI_135,12.24951342656313,0.0247296708499499,,10000-2937-13652-001.csv,,,,,,
std1030,1.1310516873220249,0.0021416809480384,,10000-2938-13654-001.csv,,,,,,
PSI_135_re1,0.1582625891345403,0.0003392696078335,,10000-2939-13656-001.csv,,,,,,
PSI_137,0.004427678492729,0.0001056868519673,,10000-2940-13658-001.csv,,,,,,
FCT-7,1.806659963452087,0.0042323279050464,,10000-2941-13660-001.csv,,,,,,
FCT-7_re1,0.2381888229035975,0.0008246113133433,,10000-2942-13662-001.csv,,,,,,
FCT-7_re2,0.021815585325884,0.0002577846365928,,10000-2943-13664-001.csv,,,,,,
std1031,1.1284982987517769,0.0017158555594699,,10000-2944-13666-001.csv,,,,,,
std_test,,,,10000-2832-13446-001.csv,std,1.1295689982008883,0.002263934617517072,6723.0,1011.0,1673367516.1846042
